"Code","White_British","Low_Occupancy","Unemployed","Qualification"
"E01009337",3.9,13.8,5.6,20.6
"E01009338",5.1,13.6,6.3,19.5
"E01009339",7.3,13.7,6,20.8
"E01009341",10.8,14.3,5.4,23.4
"E01009342",13.7,11.5,4.4,22
"E01009343",6.8,12.3,7,19
"E01009344",4.5,14.3,6.5,17.1
"E01009345",22.3,10.8,5,21.2
"E01009346",5.5,12.4,5.1,20.1
"E01009347",14.6,18.1,6.9,22.6
"E01009348",17.2,9.8,7,32.6
"E01009349",7.1,8.4,9.1,21.2
"E01009350",4.4,11.3,7.7,18.8
"E01009351",4.2,6.7,6.4,18.3
"E01009352",3.5,15.3,9.9,18.2
"E01009353",3.3,7,8.7,19
"E01009354",6.8,8.1,6.6,19.8
"E01009355",6.5,11.8,6.2,21.3
"E01009358",8.2,11.9,7,24.7
"E01009359",6.4,8.6,8.5,20.1
"E01009360",11.2,13.7,6.4,25.6
"E01009361",12.7,10.2,6.7,19.7
"E01009362",7.3,19.9,6.7,22.5
"E01009363",10.3,14,6.2,18.6
"E01009364",9.2,15.9,8.2,18.8
"E01009365",5.1,14.5,7.4,20.8
"E01009366",7.3,16.8,6.9,22.1
"E01009367",5.9,14.7,6.4,21.8
"E01009368",2.8,17.7,6.6,22.1
"E01009371",3.6,13.6,7,19.2
"E01009372",2.9,14.4,4.7,19.1
"E01009373",2.6,14.1,5.2,17.9
"E01009374",8.1,11.6,4.2,22.7
"E01009375",2.4,15.5,5.2,23.2
"E01009376",14.8,11.8,7.5,23.9
"E01009377",8.2,12.7,7.3,18
"E01009379",8.6,15.5,5.9,16.6
"E01009380",1.8,10.9,5,17.3
"E01009382",2.3,16.3,4.9,23.1
"E01009383",11.1,9.2,5.6,28.4
"E01009384",40.5,9.5,5.4,43.7
"E01009385",45.3,5.2,6.8,53.3
"E01009389",6.9,10.2,5.3,27.1
"E01009390",31.7,12.9,5.4,42.7
"E01009391",5.5,12.6,6.3,18.7
"E01009392",5.6,14.8,5,22.8
"E01009393",4.1,9.8,4.7,19.8
"E01009394",29.2,11.6,3.6,45.5
"E01009395",14.3,11.1,6.2,28.6
"E01009396",3,12,5.1,20.3
"E01009397",2.3,16.2,7.5,20
"E01009399",3.3,9.7,6.6,18.5
"E01009400",34.2,7.8,6.5,22.8
"E01009401",30.5,12.1,6.7,21
"E01009403",57,6.6,5.8,22.8
"E01009404",58.3,5.6,5.6,23.8
"E01009405",54.7,5.3,5,22.1
"E01009406",54.5,5.8,5.1,24.4
"E01009407",47.9,4.3,5.2,27.1
"E01009408",39.6,7,7.1,23.2
"E01009409",43.4,10.5,5.7,27
"E01009410",42,5.3,5.7,24.6
"E01009411",40,4.2,4.7,29.6
"E01009412",29.8,9.3,8.1,25.4
"E01009413",27.3,6.6,6.4,25.3
"E01009414",30.7,7.4,5,27.8
"E01009415",79.7,0.7,2,47.6
"E01009416",74.8,1.9,2.4,44.5
"E01009417",76.8,2.2,2.2,43.1
"E01009418",77.4,3.3,3.3,37.9
"E01009419",76.6,1.7,2.1,39.2
"E01009420",79.1,0.8,3.1,44.9
"E01009421",71.1,0.6,0.9,49.9
"E01009422",84.2,1.5,2.4,43.6
"E01009423",79.1,2.5,2.9,33.4
"E01009424",77.7,4,2,48.4
"E01009425",84.8,2,1.3,39.8
"E01009426",79.6,0.7,0.9,44.2
"E01009427",68,1.2,3.4,49.1
"E01009428",77.9,0.8,1.5,50.2
"E01009429",81.9,1.7,1.6,48.6
"E01009430",74.3,2.9,0.8,51.2
"E01009431",77.4,0.6,1.7,50.1
"E01009432",77.2,3.1,3.4,39.8
"E01009433",72.8,0.4,1.3,45.7
"E01009434",77.8,1.4,1.1,43.6
"E01009435",79.6,1.4,2.3,43.9
"E01009436",80.9,0.9,1.8,40.5
"E01009437",75.7,1.1,2.1,40.6
"E01009438",84.6,1.2,1.4,37.7
"E01009439",78.2,1.8,2.3,33.7
"E01009440",80.3,1.2,1.7,34.1
"E01009441",82.8,3.8,4,22.6
"E01009442",79.1,0.7,2,33.2
"E01009443",77.6,1.9,2.3,34
"E01009444",85.1,1,1.9,44.7
"E01009445",71.9,11.7,4.1,24
"E01009446",74.7,4.7,3.3,39.6
"E01009447",76.1,3.3,2.5,30.6
"E01009448",79.4,4.4,4,26.8
"E01009449",76.5,3.2,3.3,47
"E01009450",85.2,1.3,2.2,30.2
"E01009451",78.6,4.8,3.2,41.9
"E01009452",79.1,4.3,2.5,32.7
"E01009453",79.8,2.1,1.6,43.8
"E01009454",84.2,4.3,2.1,40.4
"E01009455",80.8,3,5.3,25.2
"E01009456",84.8,1.4,1.2,50.2
"E01009457",75.9,0.5,0.9,47.6
"E01009458",76.9,1.8,3.4,32.8
"E01009459",72.8,1.4,1.4,49.4
"E01009460",70.1,3.2,3.2,33.6
"E01009461",70.1,1,1.7,43.9
"E01009462",77.3,1.9,2.1,41.7
"E01009463",71.2,1,1.7,42.6
"E01009464",74.6,0.7,2.4,34.4
"E01009465",68.3,1,2.7,38.3
"E01009466",84.3,0.6,0.9,51.2
"E01009467",70.3,2,2.4,34.7
"E01009468",81.4,1.8,0.5,47.5
"E01009469",61.2,1.5,1.8,41.7
"E01009470",74.5,1.3,2,45.6
"E01009471",75.4,3,1.4,48.6
"E01009472",75.3,0.6,2.5,42.9
"E01009473",66.6,1.9,2.6,37.1
"E01009474",76.2,2.5,1.9,45.6
"E01009475",9.3,14,5.3,17.9
"E01009476",10.5,12.1,5.2,17.4
"E01009477",18.2,13.8,5.3,18.3
"E01009478",15.5,17.7,7.5,19.1
"E01009479",5.6,13.8,6.4,16.4
"E01009480",16.6,15.4,7.1,19
"E01009481",9.2,14.6,6.2,20.1
"E01009482",4.8,17.5,7.2,15.4
"E01009483",4.8,17,8.2,17.5
"E01009484",4.6,16.1,6.9,16.8
"E01009485",3.2,17.1,4,19.2
"E01009486",10.3,16.4,4.3,17.1
"E01009487",8.7,13,5,19.3
"E01009488",11.2,14.4,6.4,17.5
"E01009489",2.1,16.8,6.2,17.1
