2021 super output area - lower layer,Geog_Code,Total: All households,%,Occupancy rating of rooms: +2 or more,%,Occupancy rating of rooms: +1,%,Occupancy rating of rooms: 0,%,Occupancy rating of rooms: -1,% Occupancy rating of rooms: -1 or less,Occupancy rating of rooms: -2 or less,%
Birmingham 082B,E01009373,462,100,142,30.7,111,24,110,23.8,65,14.1,34,7.4
Birmingham 082D,E01009396,508,100,157,30.9,97,19.1,129,25.4,61,12,64,12.6
Birmingham 082F,E01033643,824,100,272,33,186,22.6,175,21.2,101,12.3,90,10.9
Birmingham 083A,E01009367,552,100,137,24.8,117,21.2,162,29.3,81,14.7,55,10
Birmingham 083B,E01009375,550,100,130,23.6,126,22.9,153,27.8,85,15.5,56,10.2
Birmingham 083C,E01009377,433,100,87,20.1,93,21.5,164,37.9,55,12.7,34,7.9
Birmingham 083D,E01009383,411,100,129,31.4,74,18,139,33.8,38,9.2,31,7.5
Birmingham 083E,E01009399,421,100,138,32.8,125,29.7,83,19.7,41,9.7,34,8.1
Birmingham 084A,E01009366,537,100,116,21.6,112,20.9,173,32.2,90,16.8,46,8.6
Birmingham 084B,E01009374,440,100,82,18.6,84,19.1,184,41.8,51,11.6,39,8.9
Birmingham 084C,E01009376,541,100,124,22.9,100,18.5,221,40.9,64,11.8,32,5.9
Birmingham 084F,E01033648,826,100,224,27.1,176,21.3,268,32.4,100,12.1,58,7
Birmingham 085A,E01009073,645,100,116,18,157,24.3,233,36.1,104,16.1,35,5.4
Birmingham 085B,E01009074,709,100,160,22.6,146,20.6,302,42.6,77,10.9,24,3.4
Birmingham 085C,E01009254,849,100,395,46.5,217,25.6,198,23.3,31,3.7,8,0.9
Birmingham 085D,E01009256,678,100,312,46,165,24.3,151,22.3,40,5.9,10,1.5
Birmingham 085E,E01009258,651,100,150,23,180,27.6,250,38.4,60,9.2,11,1.7
Birmingham 087B,E01009071,736,100,286,38.9,147,20,221,30,78,10.6,4,0.5
Birmingham 087C,E01009075,817,100,147,18,240,29.4,356,43.6,59,7.2,15,1.8
Birmingham 087E,E01009078,610,100,252,41.3,174,28.5,139,22.8,43,7,2,0.3
Birmingham 087F,E01033562,1010,100,404,40,247,24.5,256,25.3,79,7.8,24,2.4
Birmingham 088C,E01009183,578,100,394,68.2,109,18.9,52,9,11,1.9,12,2.1
Birmingham 088D,E01009186,778,100,356,45.8,213,27.4,187,24,18,2.3,4,0.5
Birmingham 088F,E01034938,517,100,177,34.2,109,21.1,132,25.5,62,12,37,7.2
Birmingham 088G,E01034939,438,100,155,35.4,79,18,127,29,53,12.1,24,5.5
Birmingham 089A,E01008890,711,100,243,34.2,181,25.5,201,28.3,75,10.5,11,1.5
Birmingham 089B,E01008891,713,100,364,51.1,180,25.2,141,19.8,25,3.5,3,0.4
Birmingham 089C,E01008892,500,100,206,41.2,128,25.6,107,21.4,44,8.8,15,3
Birmingham 089D,E01008893,727,100,349,48,149,20.5,164,22.6,59,8.1,6,0.8
Birmingham 089E,E01008894,715,100,187,26.2,188,26.3,275,38.5,52,7.3,13,1.8
Birmingham 089F,E01008895,765,100,383,50.1,228,29.8,128,16.7,23,3,3,0.4
Birmingham 089G,E01009015,787,100,255,32.4,215,27.3,251,31.9,53,6.7,13,1.7
Birmingham 090A,E01009014,812,100,251,30.9,222,27.3,201,24.8,95,11.7,43,5.3
Birmingham 090B,E01009018,720,100,298,41.4,183,25.4,168,23.3,57,7.9,14,1.9
Birmingham 090C,E01009026,711,100,238,33.5,208,29.3,168,23.6,72,10.1,25,3.5
Birmingham 090D,E01009028,622,100,206,33.1,146,23.5,162,26,75,12.1,33,5.3
Birmingham 090E,E01009029,514,100,220,42.8,125,24.3,97,18.9,58,11.3,14,2.7
Birmingham 092A,E01009182,644,100,147,22.8,122,18.9,269,41.8,90,14,16,2.5
Birmingham 092B,E01009184,721,100,320,44.4,126,17.5,229,31.8,42,5.8,4,0.6
Birmingham 092C,E01009187,652,100,283,43.4,152,23.3,189,29,22,3.4,6,0.9
Birmingham 092D,E01009188,661,100,320,48.4,138,20.9,157,23.8,39,5.9,7,1.1
Birmingham 092E,E01009384,703,100,107,15.2,165,23.5,354,50.4,67,9.5,10,1.4
Birmingham 092F,E01009385,601,100,183,30.4,125,20.8,257,42.8,31,5.2,5,0.8
Birmingham 093A,E01009185,762,100,314,41.2,178,23.4,209,27.4,52,6.8,9,1.2
Birmingham 093B,E01009389,481,100,193,40.1,115,23.9,86,17.9,49,10.2,38,7.9
Birmingham 093C,E01009390,651,100,161,24.7,97,14.9,298,45.8,84,12.9,11,1.7
Birmingham 093D,E01009394,732,100,171,23.4,195,26.6,268,36.6,85,11.6,13,1.8
Birmingham 094A,E01008918,723,100,162,22.4,136,18.8,313,43.3,90,12.4,22,3
Birmingham 094B,E01008920,550,100,278,50.5,155,28.2,91,16.5,21,3.8,5,0.9
Birmingham 094C,E01008921,623,100,269,43.2,134,21.5,152,24.4,49,7.9,19,3
Birmingham 094D,E01008931,621,100,131,21.1,151,24.3,253,40.7,67,10.8,19,3.1
Birmingham 094E,E01009259,720,100,163,22.6,164,22.8,302,41.9,73,10.1,18,2.5
Birmingham 095A,E01008919,700,100,260,37.1,158,22.6,218,31.1,54,7.7,10,1.4
Birmingham 095B,E01009064,593,100,248,41.8,165,27.8,137,23.1,32,5.4,11,1.9
Birmingham 095C,E01009077,689,100,356,51.7,196,28.4,117,17,19,2.8,1,0.1
Birmingham 095D,E01009291,587,100,221,37.6,164,27.9,156,26.6,34,5.8,12,2
