"wz11cd","lsoa11cd","msoa11cd","date","Method of travel to work: All categories: Method of travel to work (2001 specification); measures: Value","Method of travel to work: Work mainly at or from home; measures: Value","Method of travel to work: Underground, metro, light rail or tram; measures: Value","Method of travel to work: Train; measures: Value","Method of travel to work: Bus, minibus or coach; measures: Value","Method of travel to work: Taxi; measures: Value","Method of travel to work: Motorcycle, scooter or moped; measures: Value","Method of travel to work: Driving a car or van; measures: Value","Method of travel to work: Passenger in a car or van; measures: Value","Method of travel to work: Bicycle; measures: Value","Method of travel to work: On foot; measures: Value","Method of travel to work: Other method of travel to work; measures: Value"
"E33020425","E01008937","E02001941",2011,572,80,0,16,68,5,5,279,38,5,73,3
"E33020425","E01008941","E02001941",2011,572,80,0,16,68,5,5,279,38,5,73,3
"E33020425","E01008940","E02001941",2011,572,80,0,16,68,5,5,279,38,5,73,3
"E33020426","E01008960","E02001942",2011,307,82,1,5,22,0,0,164,6,5,20,2
"E33020426","E01008959","E02001942",2011,307,82,1,5,22,0,0,164,6,5,20,2
"E33020427","E01008961","E02001942",2011,424,117,2,10,65,4,2,150,29,3,38,4
"E33020427","E01008962","E02001942",2011,424,117,2,10,65,4,2,150,29,3,38,4
"E33020427","E01008959","E02001942",2011,424,117,2,10,65,4,2,150,29,3,38,4
"E33020428","E01008961","E02001942",2011,440,51,5,21,51,3,2,255,16,6,28,2
"E33020428","E01008960","E02001942",2011,440,51,5,21,51,3,2,255,16,6,28,2
"E33020429","E01008942","E02001943",2011,381,58,0,3,33,1,1,204,20,0,61,0
"E33020429","E01008943","E02001943",2011,381,58,0,3,33,1,1,204,20,0,61,0
"E33020430","E01008969","E02001943",2011,523,88,0,6,46,1,1,336,18,7,20,0
"E33020430","E01008943","E02001943",2011,523,88,0,6,46,1,1,336,18,7,20,0
"E33020431","E01008971","E02001943",2011,351,63,0,3,34,0,1,194,14,8,33,1
"E33020432","E01008973","E02001944",2011,900,105,0,15,114,3,1,501,52,12,95,2
"E33020432","E01008975","E02001944",2011,900,105,0,15,114,3,1,501,52,12,95,2
"E33020432","E01008972","E02001944",2011,900,105,0,15,114,3,1,501,52,12,95,2
"E33020433","E01008974","E02001944",2011,327,82,1,5,35,0,1,144,23,7,26,3
"E33020433","E01008973","E02001944",2011,327,82,1,5,35,0,1,144,23,7,26,3
"E33020433","E01008972","E02001944",2011,327,82,1,5,35,0,1,144,23,7,26,3
"E33020434","E01008974","E02001944",2011,346,84,2,4,32,0,2,192,11,4,15,0
"E33020434","E01008973","E02001944",2011,346,84,2,4,32,0,2,192,11,4,15,0
"E33020435","E01009498","E02001945",2011,720,83,0,13,136,4,2,357,41,5,76,3
"E33020435","E01009499","E02001945",2011,720,83,0,13,136,4,2,357,41,5,76,3
"E33020435","E01009172","E02001945",2011,720,83,0,13,136,4,2,357,41,5,76,3
"E33020436","E01009172","E02001945",2011,367,107,0,2,39,2,1,151,19,0,43,3
"E33020436","E01009173","E02001945",2011,367,107,0,2,39,2,1,151,19,0,43,3
"E33020436","E01009174","E02001945",2011,367,107,0,2,39,2,1,151,19,0,43,3
"E33020437","E01009205","E02001946",2011,223,27,1,5,21,0,0,112,13,0,43,1
"E33020438","E01009205","E02001946",2011,331,97,5,11,22,2,1,161,14,3,12,3
"E33020438","E01009211","E02001946",2011,331,97,5,11,22,2,1,161,14,3,12,3
"E33020439","E01009218","E02001946",2011,450,67,1,9,48,5,1,240,20,10,48,1
"E33020440","E01009206","E02001946",2011,521,101,1,6,45,3,2,288,18,7,47,3
"E33020440","E01009219","E02001946",2011,521,101,1,6,45,3,2,288,18,7,47,3
"E33020441","E01008976","E02001947",2011,256,35,2,2,34,1,0,140,8,1,29,4
"E33020441","E01008978","E02001947",2011,256,35,2,2,34,1,0,140,8,1,29,4
"E33020442","E01008980","E02001947",2011,656,38,0,4,68,2,2,423,27,8,80,4
"E33020442","E01008978","E02001947",2011,656,38,0,4,68,2,2,423,27,8,80,4
"E33020443","E01008980","E02001947",2011,283,47,0,2,26,1,1,144,20,4,36,2
"E33020443","E01008979","E02001947",2011,283,47,0,2,26,1,1,144,20,4,36,2
"E33020444","E01008945","E02001948",2011,683,24,0,4,106,6,7,388,38,5,103,2
"E33020445","E01008945","E02001948",2011,345,92,0,2,22,1,1,187,26,0,13,1
"E33020445","E01008946","E02001948",2011,345,92,0,2,22,1,1,187,26,0,13,1
"E33020445","E01008947","E02001948",2011,345,92,0,2,22,1,1,187,26,0,13,1
"E33020445","E01008949","E02001948",2011,345,92,0,2,22,1,1,187,26,0,13,1
"E33020446","E01008947","E02001948",2011,329,46,1,4,57,1,2,151,17,6,43,1
"E33020446","E01008948","E02001948",2011,329,46,1,4,57,1,2,151,17,6,43,1
"E33020447","E01008948","E02001948",2011,466,61,0,4,77,2,2,224,23,4,69,0
"E33020447","E01008949","E02001948",2011,466,61,0,4,77,2,2,224,23,4,69,0
"E33020448","E01008977","E02001949",2011,307,61,0,8,36,0,3,176,7,1,13,2
"E33020448","E01009120","E02001949",2011,307,61,0,8,36,0,3,176,7,1,13,2
"E33020449","E01009119","E02001949",2011,556,48,0,22,71,0,4,327,25,6,48,5
"E33020450","E01009120","E02001949",2011,354,45,0,4,63,3,1,181,28,5,23,1
"E33020450","E01009109","E02001949",2011,354,45,0,4,63,3,1,181,28,5,23,1
"E33020451","E01009209","E02001950",2011,510,74,2,24,43,3,2,285,24,9,42,2
"E33020451","E01009207","E02001950",2011,510,74,2,24,43,3,2,285,24,9,42,2
"E33020452","E01009208","E02001950",2011,367,65,0,9,27,2,1,197,11,0,53,2
"E33020452","E01009162","E02001950",2011,367,65,0,9,27,2,1,197,11,0,53,2
"E33020453","E01009208","E02001950",2011,423,43,3,20,32,0,0,261,20,6,36,2
"E33020453","E01009209","E02001950",2011,423,43,3,20,32,0,0,261,20,6,36,2
"E33020454","E01009213","E02001950",2011,602,54,2,23,50,5,5,389,21,5,47,1
"E33020454","E01009162","E02001950",2011,602,54,2,23,50,5,5,389,21,5,47,1
"E33020455","E01009209","E02001950",2011,390,35,0,13,32,2,1,218,23,3,63,0
"E33020455","E01009213","E02001950",2011,390,35,0,13,32,2,1,218,23,3,63,0
"E33020456","E01033633","E02001951",2011,390,46,0,5,34,3,8,226,26,1,39,2
"E33020456","E01009160","E02001951",2011,390,46,0,5,34,3,8,226,26,1,39,2
"E33020456","E01009161","E02001951",2011,390,46,0,5,34,3,8,226,26,1,39,2
"E33020457","E01033633","E02001951",2011,282,57,1,1,25,1,0,145,17,1,31,3
"E33020457","E01009157","E02001951",2011,282,57,1,1,25,1,0,145,17,1,31,3
"E33020458","E01033633","E02001951",2011,461,62,1,10,48,1,1,247,33,4,52,2
"E33020458","E01009161","E02001951",2011,461,62,1,10,48,1,1,247,33,4,52,2
"E33020458","E01009155","E02001951",2011,461,62,1,10,48,1,1,247,33,4,52,2
"E33020459","E01009215","E02001952",2011,286,19,0,8,28,4,1,164,15,2,39,6
"E33020460","E01009210","E02001952",2011,305,62,0,12,22,5,0,157,12,6,27,2
"E33020460","E01009214","E02001952",2011,305,62,0,12,22,5,0,157,12,6,27,2
"E33020461","E01009212","E02001952",2011,279,69,0,1,31,2,1,138,12,3,20,2
"E33020461","E01009215","E02001952",2011,279,69,0,1,31,2,1,138,12,3,20,2
"E33020462","E01009117","E02001952",2011,546,59,0,11,49,2,1,312,27,4,79,2
"E33020462","E01009214","E02001952",2011,546,59,0,11,49,2,1,312,27,4,79,2
"E33020463","E01009116","E02001953",2011,396,76,1,15,32,4,0,225,25,3,13,2
"E33020463","E01009118","E02001953",2011,396,76,1,15,32,4,0,225,25,3,13,2
"E33020464","E01009108","E02001953",2011,329,88,0,5,40,2,1,156,15,5,13,4
"E33020464","E01009111","E02001953",2011,329,88,0,5,40,2,1,156,15,5,13,4
"E33020464","E01009118","E02001953",2011,329,88,0,5,40,2,1,156,15,5,13,4
"E33020465","E01009112","E02001953",2011,906,61,3,7,108,4,2,591,52,6,71,1
"E33020465","E01009111","E02001953",2011,906,61,3,7,108,4,2,591,52,6,71,1
"E33020466","E01009114","E02001954",2011,552,106,0,5,45,3,1,302,33,1,54,2
"E33020466","E01009113","E02001954",2011,552,106,0,5,45,3,1,302,33,1,54,2
"E33020466","E01009115","E02001954",2011,552,106,0,5,45,3,1,302,33,1,54,2
"E33020467","E01009110","E02001954",2011,488,73,0,8,56,0,2,262,21,9,57,0
"E33020467","E01009107","E02001954",2011,488,73,0,8,56,0,2,262,21,9,57,0
"E33020468","E01009163","E02001955",2011,502,48,0,12,23,1,5,353,14,24,21,1
"E33020469","E01009165","E02001955",2011,690,85,0,12,49,7,3,397,39,6,91,1
"E33020469","E01009169","E02001955",2011,690,85,0,12,49,7,3,397,39,6,91,1
"E33020470","E01009158","E02001955",2011,577,45,1,7,62,6,3,363,26,8,53,3
"E33020471","E01009159","E02001956",2011,548,53,0,6,49,6,2,341,25,1,64,1
"E33020472","E01009171","E02001956",2011,502,142,0,8,19,2,0,269,29,3,29,1
"E33020472","E01009164","E02001956",2011,502,142,0,8,19,2,0,269,29,3,29,1
"E33020472","E01009167","E02001956",2011,502,142,0,8,19,2,0,269,29,3,29,1
"E33020473","E01009216","E02001957",2011,477,134,0,16,26,3,2,242,22,0,30,2
"E33020473","E01009168","E02001957",2011,477,134,0,16,26,3,2,242,22,0,30,2
"E33020473","E01009166","E02001957",2011,477,134,0,16,26,3,2,242,22,0,30,2
"E33020473","E01009170","E02001957",2011,477,134,0,16,26,3,2,242,22,0,30,2
"E33020474","E01009217","E02001957",2011,565,107,1,12,47,2,0,286,29,3,75,3
"E33020474","E01009216","E02001957",2011,565,107,1,12,47,2,0,286,29,3,75,3
"E33023213","E01009039","E02006807",2011,648,134,2,9,45,6,3,356,32,6,52,3
"E33023213","E01009041","E02006807",2011,648,134,2,9,45,6,3,356,32,6,52,3
"E33023213","E01032589","E02006807",2011,648,134,2,9,45,6,3,356,32,6,52,3
"E33023214","E01009040","E02006807",2011,494,195,0,8,22,10,1,222,18,2,14,2
"E33023214","E01009039","E02006807",2011,494,195,0,8,22,10,1,222,18,2,14,2
"E33023214","E01009042","E02006807",2011,494,195,0,8,22,10,1,222,18,2,14,2
"E33023218","E01009279","E02006809",2011,290,90,1,3,19,3,0,134,7,2,29,2
"E33023218","E01009267","E02006809",2011,290,90,1,3,19,3,0,134,7,2,29,2
"E33023218","E01032591","E02006809",2011,290,90,1,3,19,3,0,134,7,2,29,2
"E33023219","E01009278","E02006809",2011,685,56,4,35,67,8,2,422,40,8,42,1
"E33023219","E01009279","E02006809",2011,685,56,4,35,67,8,2,422,40,8,42,1
"E33023220","E01009267","E02006809",2011,268,67,0,2,37,3,0,119,19,3,17,1
"E33023220","E01009262","E02006809",2011,268,67,0,2,37,3,0,119,19,3,17,1
"E33023220","E01032591","E02006809",2011,268,67,0,2,37,3,0,119,19,3,17,1
"E33023221","E01009262","E02006809",2011,319,78,1,5,28,3,1,162,14,3,23,1
"E33023221","E01009278","E02006809",2011,319,78,1,5,28,3,1,162,14,3,23,1
"E33023222","E01009276","E02006809",2011,352,63,0,11,30,0,4,198,14,3,27,2
"E33023222","E01032591","E02006809",2011,352,63,0,11,30,0,4,198,14,3,27,2
"E33023236","E01033557","E02006895",2011,437,39,1,63,60,1,2,206,15,9,40,1
"E33023237","E01033557","E02006895",2011,844,20,10,98,197,4,5,342,30,10,126,2
"E33023238","E01033557","E02006895",2011,639,8,9,132,96,8,1,270,21,8,83,3
"E33023239","E01033640","E02006895",2011,640,17,7,51,139,0,3,337,34,6,43,3
"E33023240","E01033624","E02006895",2011,487,41,2,20,80,1,1,286,13,3,37,3
"E33023240","E01033640","E02006895",2011,487,41,2,20,80,1,1,286,13,3,37,3
"E33023240","E01008995","E02006895",2011,487,41,2,20,80,1,1,286,13,3,37,3
"E33023241","E01008995","E02006895",2011,359,23,0,14,80,4,1,185,14,6,30,2
"E33023242","E01033624","E02006895",2011,871,61,3,107,170,3,1,437,19,6,61,3
"E33023242","E01033626","E02006895",2011,871,61,3,107,170,3,1,437,19,6,61,3
"E33023243","E01033616","E02006896",2011,318,25,5,54,53,0,0,153,6,4,16,2
"E33023243","E01033615","E02006896",2011,318,25,5,54,53,0,0,153,6,4,16,2
"E33023244","E01033615","E02006896",2011,264,15,1,26,65,4,2,113,4,7,27,0
"E33023244","E01033616","E02006896",2011,264,15,1,26,65,4,2,113,4,7,27,0
"E33023245","E01033615","E02006896",2011,319,9,2,5,44,5,3,222,21,0,8,0
"E33023246","E01033615","E02006896",2011,734,16,17,43,197,2,1,306,82,15,52,3
"E33023246","E01033567","E02006896",2011,734,16,17,43,197,2,1,306,82,15,52,3
"E33023247","E01009378","E02006896",2011,227,11,0,13,41,0,6,136,6,3,10,1
"E33023248","E01009378","E02006896",2011,349,8,4,7,47,6,2,230,12,5,24,4
"E33023249","E01033615","E02006896",2011,501,7,4,105,124,3,0,155,12,8,83,0
"E33023249","E01033567","E02006896",2011,501,7,4,105,124,3,0,155,12,8,83,0
"E33023250","E01033616","E02006896",2011,376,31,4,35,71,8,1,178,9,1,38,0
"E33023250","E01033567","E02006896",2011,376,31,4,35,71,8,1,178,9,1,38,0
"E33023251","E01009378","E02006896",2011,306,27,0,29,54,0,2,168,8,1,14,3
"E33023252","E01033639","E02006897",2011,416,55,3,17,37,15,0,248,9,4,25,3
"E33023252","E01033564","E02006897",2011,416,55,3,17,37,15,0,248,9,4,25,3
"E33023253","E01009146","E02006897",2011,476,37,1,39,87,2,0,256,11,3,35,5
"E33023254","E01009143","E02006897",2011,452,30,4,25,91,8,3,241,15,6,24,5
"E33023254","E01033639","E02006897",2011,452,30,4,25,91,8,3,241,15,6,24,5
"E33023255","E01009141","E02006898",2011,477,8,2,8,78,0,2,325,20,4,30,0
"E33023256","E01009141","E02006898",2011,1106,11,9,106,170,6,3,706,37,12,45,1
"E33023256","E01033619","E02006898",2011,1106,11,9,106,170,6,3,706,37,12,45,1
"E33023257","E01033565","E02006898",2011,478,16,8,55,74,2,2,286,21,3,11,0
"E33023258","E01033565","E02006898",2011,417,19,4,39,84,0,3,223,14,8,21,2
"E33023259","E01009141","E02006898",2011,345,16,1,3,45,1,1,231,24,5,18,0
"E33023260","E01033619","E02006898",2011,462,26,6,40,83,6,2,245,19,9,24,2
"E33023261","E01033618","E02006898",2011,279,74,5,18,29,2,1,104,6,5,30,5
"E33023261","E01009141","E02006898",2011,279,74,5,18,29,2,1,104,6,5,30,5
"E33023262","E01033627","E02006898",2011,322,30,2,43,52,1,5,138,13,3,33,2
"E33023262","E01033619","E02006898",2011,322,30,2,43,52,1,5,138,13,3,33,2
"E33023263","E01033623","E02006899",2011,510,15,10,48,91,3,1,272,36,4,28,2
"E33023264","E01033623","E02006899",2011,474,19,6,75,60,0,0,256,19,4,35,0
"E33023264","E01033622","E02006899",2011,474,19,6,75,60,0,0,256,19,4,35,0
"E33023265","E01033622","E02006899",2011,247,14,6,36,50,2,2,117,12,0,8,0
"E33023266","E01009327","E02006900",2011,264,33,1,2,38,3,3,146,17,4,15,2
"E33023266","E01009331","E02006900",2011,264,33,1,2,38,3,3,146,17,4,15,2
"E33023267","E01009200","E02006900",2011,466,13,0,9,106,5,4,248,37,4,37,3
"E33023268","E01009328","E02006900",2011,311,59,0,1,49,5,0,132,13,3,42,7
"E33023268","E01009344","E02006900",2011,311,59,0,1,49,5,0,132,13,3,42,7
"E33023268","E01009333","E02006900",2011,311,59,0,1,49,5,0,132,13,3,42,7
"E33023269","E01009344","E02006900",2011,414,27,0,6,43,0,3,251,24,5,52,3
"E33023269","E01009332","E02006900",2011,414,27,0,6,43,0,3,251,24,5,52,3
"E33023270","E01009200","E02006900",2011,306,16,0,13,50,0,2,200,11,5,8,1
"E33023271","E01009328","E02006900",2011,371,61,0,5,24,16,0,195,18,3,45,4
"E33023271","E01009335","E02006900",2011,371,61,0,5,24,16,0,195,18,3,45,4
"E33023271","E01009327","E02006900",2011,371,61,0,5,24,16,0,195,18,3,45,4
"E33023271","E01009331","E02006900",2011,371,61,0,5,24,16,0,195,18,3,45,4
"E33023272","E01009335","E02006900",2011,614,16,1,3,119,12,1,288,43,5,122,4
"E33023273","E01009340","E02006901",2011,325,55,0,15,21,4,2,178,11,2,36,1
"E33023274","E01009393","E02006901",2011,385,20,0,4,59,2,0,187,16,3,93,1
"E33023275","E01009391","E02006901",2011,301,73,2,9,35,9,0,131,14,6,21,1
"E33023275","E01009393","E02006901",2011,301,73,2,9,35,9,0,131,14,6,21,1
"E33023275","E01033641","E02006901",2011,301,73,2,9,35,9,0,131,14,6,21,1
"E33023276","E01009339","E02006901",2011,378,12,1,15,40,0,1,238,20,2,49,0
"E33023277","E01009382","E02006901",2011,252,26,0,2,32,4,0,134,9,2,43,0
"E33023278","E01033641","E02006901",2011,304,17,1,2,40,3,1,181,17,3,39,0
"E33023279","E01009382","E02006901",2011,310,50,2,3,42,16,0,171,5,2,18,1
"E33023279","E01009392","E02006901",2011,310,50,2,3,42,16,0,171,5,2,18,1
"E33023279","E01009393","E02006901",2011,310,50,2,3,42,16,0,171,5,2,18,1
"E33023280","E01009391","E02006901",2011,284,38,0,1,38,1,0,160,11,2,33,0
