"wz11cd","lsoa11cd","msoa11cd","date","Tenure: All categories: Tenure; measures: Value","Tenure: Owned: Total; measures: Value","Tenure: Owned: Owned outright; measures: Value","Tenure: Owned: Owned with a mortgage or loan; measures: Value","Tenure: Shared ownership (part owned and part rented); measures: Value","Tenure: Social rented: Total; measures: Value","Tenure: Social rented: Rented from council (Local Authority); measures: Value","Tenure: Social rented: Other social rented; measures: Value","Tenure: Private rented: Total; measures: Value","Tenure: Private rented: Private landlord or letting agency; measures: Value","Tenure: Private rented: Employer of a household member; measures: Value","Tenure: Private rented: Relative or friend of household member; measures: Value","Tenure: Private rented: Other; measures: Value","Tenure: Living rent free; measures: Value","Tenure: Owned: Total; measures: Value:value%","Tenure: Owned: Owned outright; measures: Value:value%","Tenure: Owned: Owned with a mortgage or loan; measures: Value:value%","Tenure: Shared ownership (part owned and part rented); measures: Value:value%","Tenure: Social rented: Total; measures: Value:value%","Tenure: Social rented: Rented from council (Local Authority); measures: Value:value%","Tenure: Social rented: Other social rented; measures: Value:value%","Tenure: Private rented: Total; measures: Value:value%","Tenure: Private rented: Private landlord or letting agency; measures: Value:value%","Tenure: Private rented: Employer of a household member; measures: Value:value%","Tenure: Private rented: Relative or friend of household member; measures: Value:value%","Tenure: Private rented: Other; measures: Value:value%","Tenure: Living rent free; measures: Value:value%"
"E33020402","E01009036","E02001934",2011,629,474,161,313,4,48,33,15,99,90,0,7,2,4,75.3577106518283,25.5961844197138,49.7615262321145,0.635930047694754,7.63116057233704,5.24642289348172,2.38473767885533,15.7392686804452,14.308426073132,0,1.11287758346582,0.317965023847377,0.635930047694754
"E33020403","E01009506","E02001935",2011,328,206,72,134,1,83,16,67,31,25,1,4,1,7,62.8048780487805,21.9512195121951,40.8536585365854,0.304878048780488,25.3048780487805,4.8780487804878,20.4268292682927,9.45121951219512,7.6219512195122,0.304878048780488,1.21951219512195,0.304878048780488,2.13414634146341
"E33020403","E01009494","E02001935",2011,328,206,72,134,1,83,16,67,31,25,1,4,1,7,62.8048780487805,21.9512195121951,40.8536585365854,0.304878048780488,25.3048780487805,4.8780487804878,20.4268292682927,9.45121951219512,7.6219512195122,0.304878048780488,1.21951219512195,0.304878048780488,2.13414634146341
"E33020403","E01009496","E02001935",2011,328,206,72,134,1,83,16,67,31,25,1,4,1,7,62.8048780487805,21.9512195121951,40.8536585365854,0.304878048780488,25.3048780487805,4.8780487804878,20.4268292682927,9.45121951219512,7.6219512195122,0.304878048780488,1.21951219512195,0.304878048780488,2.13414634146341
"E33020404","E01009496","E02001935",2011,414,316,91,225,9,50,32,18,35,34,0,1,0,4,76.3285024154589,21.9806763285024,54.3478260869565,2.17391304347826,12.0772946859903,7.72946859903382,4.34782608695652,8.45410628019324,8.21256038647343,0,0.241545893719807,0,0.966183574879227
"E33020404","E01009497","E02001935",2011,414,316,91,225,9,50,32,18,35,34,0,1,0,4,76.3285024154589,21.9806763285024,54.3478260869565,2.17391304347826,12.0772946859903,7.72946859903382,4.34782608695652,8.45410628019324,8.21256038647343,0,0.241545893719807,0,0.966183574879227
"E33020405","E01009504","E02001935",2011,255,164,68,96,1,44,19,25,45,35,0,8,2,1,64.3137254901961,26.6666666666667,37.6470588235294,0.392156862745098,17.2549019607843,7.45098039215686,9.80392156862745,17.6470588235294,13.7254901960784,0,3.13725490196078,0.784313725490196,0.392156862745098
"E33020406","E01009497","E02001935",2011,577,402,114,288,8,94,69,25,69,65,1,2,1,4,69.6707105719237,19.7573656845754,49.9133448873484,1.38648180242634,16.2911611785095,11.9584055459272,4.33275563258232,11.9584055459272,11.265164644714,0.173310225303293,0.346620450606586,0.173310225303293,0.693240901213172
"E33020407","E01008967","E02001936",2011,345,271,80,191,2,32,23,9,37,28,5,3,1,3,78.5507246376812,23.1884057971014,55.3623188405797,0.579710144927536,9.27536231884058,6.66666666666667,2.60869565217391,10.7246376811594,8.11594202898551,1.44927536231884,0.869565217391304,0.289855072463768,0.869565217391304
"E33020407","E01008970","E02001936",2011,345,271,80,191,2,32,23,9,37,28,5,3,1,3,78.5507246376812,23.1884057971014,55.3623188405797,0.579710144927536,9.27536231884058,6.66666666666667,2.60869565217391,10.7246376811594,8.11594202898551,1.44927536231884,0.869565217391304,0.289855072463768,0.869565217391304
