"wz11cd","lsoa11cd","msoa11cd","date","Length of Residence in UK: All categories: Length of residence in the UK; measures: Value","Length of Residence in UK: Born in the UK; measures: Value","Length of Residence in UK: Resident in UK: Less than 2 years; measures: Value","Length of Residence in UK: Resident in UK: 2 years or more but less than 5 years; measures: Value","Length of Residence in UK: Resident in UK: 5 years or more but less than 10 years; measures: Value","Length of Residence in UK: Resident in UK: 10 years or more; measures: Value"
"E33020228","E01008988","E02001890",2011,1037,912,5,20,28,72
"E33020229","E01008989","E02001890",2011,405,307,13,15,29,41
"E33020229","E01008991","E02001890",2011,405,307,13,15,29,41
"E33020230","E01008990","E02001890",2011,1281,1135,6,19,40,81
"E33020231","E01008987","E02001890",2011,411,300,11,21,31,48
"E33020231","E01008988","E02001890",2011,411,300,11,21,31,48
"E33020232","E01008988","E02001890",2011,411,314,9,12,29,47
"E33020232","E01008986","E02001890",2011,411,314,9,12,29,47
"E33020233","E01008987","E02001890",2011,252,205,2,3,10,32
"E33020234","E01008989","E02001890",2011,335,197,14,17,45,62
"E33020234","E01008986","E02001890",2011,335,197,14,17,45,62
"E33020235","E01009326","E02001892",2011,578,391,4,18,31,134
"E33020235","E01008898","E02001892",2011,578,391,4,18,31,134
"E33020236","E01009513","E02001892",2011,294,244,2,3,8,37
"E33020237","E01008896","E02001892",2011,323,237,4,9,24,49
"E33020237","E01009513","E02001892",2011,323,237,4,9,24,49
"E33020237","E01009341","E02001892",2011,323,237,4,9,24,49
"E33020238","E01008882","E02001892",2011,379,271,5,17,20,66
"E33020238","E01008898","E02001892",2011,379,271,5,17,20,66
"E33020239","E01009515","E02001893",2011,253,204,2,2,15,30
"E33020239","E01009518","E02001893",2011,253,204,2,2,15,30
"E33020240","E01008881","E02001893",2011,399,305,1,15,27,51
"E33020240","E01008897","E02001893",2011,399,305,1,15,27,51
"E33020241","E01008881","E02001893",2011,315,260,0,13,13,29
"E33020242","E01009521","E02001893",2011,535,460,4,5,18,48
"E33020242","E01009518","E02001893",2011,535,460,4,5,18,48
"E33020243","E01009323","E02001895",2011,352,299,4,4,13,32
"E33020243","E01009322","E02001895",2011,352,299,4,4,13,32
"E33020243","E01009321","E02001895",2011,352,299,4,4,13,32
"E33020244","E01009302","E02001895",2011,378,320,9,3,23,23
"E33020245","E01009314","E02001895",2011,556,444,3,4,36,69
"E33020245","E01009323","E02001895",2011,556,444,3,4,36,69
"E33020245","E01009322","E02001895",2011,556,444,3,4,36,69
"E33020246","E01009338","E02001896",2011,416,242,7,13,25,129
"E33020246","E01009337","E02001896",2011,416,242,7,13,25,129
"E33020247","E01009380","E02001896",2011,330,106,24,42,73,85
"E33020248","E01009334","E02001896",2011,466,273,3,22,32,136
"E33020248","E01009337","E02001896",2011,466,273,3,22,32,136
"E33020248","E01009329","E02001896",2011,466,273,3,22,32,136
"E33020249","E01009362","E02001897",2011,376,268,4,9,28,67
"E33020250","E01009365","E02001897",2011,638,431,9,24,54,120
"E33020250","E01009364","E02001897",2011,638,431,9,24,54,120
"E33020251","E01009365","E02001897",2011,475,337,5,15,44,74
"E33020252","E01009363","E02001897",2011,472,307,12,16,34,103
"E33020253","E01009379","E02001897",2011,220,124,3,7,21,65
"E33020254","E01009363","E02001897",2011,227,133,14,23,17,40
"E33020254","E01009379","E02001897",2011,227,133,14,23,17,40
"E33020255","E01009362","E02001897",2011,500,318,9,16,42,115
"E33020255","E01009364","E02001897",2011,500,318,9,16,42,115
"E33020256","E01009312","E02001898",2011,333,317,1,1,3,11
"E33020256","E01009324","E02001898",2011,333,317,1,1,3,11
"E33020257","E01009312","E02001898",2011,386,344,3,2,7,30
"E33020257","E01009520","E02001898",2011,386,344,3,2,7,30
"E33020257","E01009519","E02001898",2011,386,344,3,2,7,30
"E33020258","E01009260","E02001899",2011,499,413,2,11,22,51
"E33020258","E01009252","E02001899",2011,499,413,2,11,22,51
"E33020259","E01009066","E02001899",2011,599,505,4,11,20,59
"E33020260","E01009260","E02001899",2011,696,590,4,12,16,74
"E33020260","E01009252","E02001899",2011,696,590,4,12,16,74
"E33020261","E01009261","E02001899",2011,281,236,0,5,9,31
"E33020262","E01009252","E02001899",2011,619,522,1,6,16,74
"E33020262","E01009070","E02001899",2011,619,522,1,6,16,74
"E33020263","E01008994","E02001900",2011,431,349,7,11,18,46
"E33020263","E01008997","E02001900",2011,431,349,7,11,18,46
"E33020264","E01008994","E02001900",2011,671,547,13,15,35,61
"E33020265","E01008996","E02001900",2011,404,276,13,11,20,84
"E33020265","E01008984","E02001900",2011,404,276,13,11,20,84
"E33020266","E01009072","E02001901",2011,401,343,1,6,12,39
"E33020267","E01009068","E02001901",2011,414,365,2,5,12,30
"E33020267","E01009067","E02001901",2011,414,365,2,5,12,30
"E33020268","E01009065","E02001901",2011,415,399,3,1,0,12
"E33020268","E01009067","E02001901",2011,415,399,3,1,0,12
"E33020268","E01009069","E02001901",2011,415,399,3,1,0,12
"E33020269","E01009069","E02001901",2011,316,269,6,1,10,30
"E33020270","E01009068","E02001901",2011,597,526,12,8,19,32
"E33020270","E01009069","E02001901",2011,597,526,12,8,19,32
"E33020271","E01009065","E02001901",2011,284,234,4,5,8,33
"E33020272","E01009068","E02001901",2011,382,309,1,4,7,61
"E33020273","E01008886","E02001902",2011,521,434,14,18,18,37
"E33020273","E01008885","E02001902",2011,521,434,14,18,18,37
"E33020273","E01008888","E02001902",2011,521,434,14,18,18,37
"E33020274","E01008886","E02001902",2011,283,239,3,4,12,25
"E33020274","E01008885","E02001902",2011,283,239,3,4,12,25
"E33020275","E01009313","E02001902",2011,332,300,2,2,1,27
"E33020276","E01009368","E02001903",2011,397,246,8,12,21,110
"E33020276","E01009371","E02001903",2011,397,246,8,12,21,110
"E33020277","E01009368","E02001903",2011,297,171,10,14,19,83
"E33020277","E01033650","E02001903",2011,297,171,10,14,19,83
"E33020278","E01033650","E02001903",2011,413,272,5,22,33,81
"E33020279","E01009397","E02001903",2011,551,286,14,25,33,193
"E33020280","E01009371","E02001903",2011,277,173,3,7,13,81
"E33020281","E01008883","E02001904",2011,281,172,17,8,17,67
"E33020281","E01008884","E02001904",2011,281,172,17,8,17,67
"E33020282","E01008884","E02001904",2011,328,274,3,5,10,36
"E33020283","E01008889","E02001904",2011,407,336,12,6,11,42
"E33020284","E01008883","E02001904",2011,622,397,26,47,68,84
"E33020284","E01008887","E02001904",2011,622,397,26,47,68,84
"E33020285","E01008887","E02001904",2011,369,314,1,6,16,32
"E33020286","E01008992","E02001905",2011,444,381,7,8,8,40
"E33020287","E01009283","E02001905",2011,305,229,6,7,14,49
"E33020288","E01008992","E02001905",2011,436,352,3,8,22,51
"E33020288","E01033631","E02001905",2011,436,352,3,8,22,51
"E33020289","E01033631","E02001905",2011,697,590,10,13,26,58
"E33020290","E01008982","E02001905",2011,1031,817,21,17,64,112
"E33020291","E01009249","E02001906",2011,263,212,1,9,13,28
"E33020291","E01009251","E02001906",2011,263,212,1,9,13,28
"E33020292","E01009250","E02001906",2011,305,280,2,6,2,15
"E33020293","E01009249","E02001906",2011,282,224,2,7,9,40
"E33020293","E01009257","E02001906",2011,282,224,2,7,9,40
"E33020294","E01009253","E02001906",2011,423,315,28,24,26,30
"E33020294","E01009250","E02001906",2011,423,315,28,24,26,30
"E33020295","E01009253","E02001906",2011,364,335,0,1,14,14
"E33020295","E01009251","E02001906",2011,364,335,0,1,14,14
"E33020296","E01009255","E02001906",2011,288,245,2,7,8,26
"E33020296","E01009257","E02001906",2011,288,245,2,7,8,26
"E33020297","E01009315","E02001907",2011,645,553,0,9,15,68
"E33020297","E01009317","E02001907",2011,645,553,0,9,15,68
"E33020297","E01009318","E02001907",2011,645,553,0,9,15,68
"E33020298","E01009316","E02001907",2011,575,498,5,12,18,42
"E33020298","E01009315","E02001907",2011,575,498,5,12,18,42
"E33020299","E01009319","E02001907",2011,393,352,0,7,11,23
"E33020299","E01009320","E02001907",2011,393,352,0,7,11,23
"E33020299","E01009315","E02001907",2011,393,352,0,7,11,23
"E33020300","E01009319","E02001907",2011,359,332,2,1,5,19
"E33020300","E01009320","E02001907",2011,359,332,2,1,5,19
"E33020300","E01009318","E02001907",2011,359,332,2,1,5,19
"E33020301","E01033643","E02001908",2011,368,206,10,14,35,103
"E33020302","E01009373","E02001908",2011,431,199,20,30,35,147
"E33020302","E01009372","E02001908",2011,431,199,20,30,35,147
"E33020302","E01033643","E02001908",2011,431,199,20,30,35,147
"E33020303","E01009396","E02001908",2011,229,118,6,16,16,73
"E33020304","E01009396","E02001908",2011,444,204,13,16,47,164
"E33020305","E01009383","E02001909",2011,474,276,11,18,32,137
"E33020305","E01009399","E02001909",2011,474,276,11,18,32,137
"E33020306","E01009377","E02001909",2011,310,197,9,17,22,65
"E33020306","E01009375","E02001909",2011,310,197,9,17,22,65
"E33020307","E01009367","E02001909",2011,386,218,9,19,28,112
"E33020307","E01009375","E02001909",2011,386,218,9,19,28,112
"E33020308","E01009377","E02001909",2011,456,277,7,18,26,128
"E33020308","E01009375","E02001909",2011,456,277,7,18,26,128
"E33020309","E01033648","E02001910",2011,528,236,20,24,48,200
"E33020309","E01009376","E02001910",2011,528,236,20,24,48,200
"E33020310","E01009374","E02001910",2011,575,371,7,21,34,142
"E33020310","E01009366","E02001910",2011,575,371,7,21,34,142
"E33020310","E01009376","E02001910",2011,575,371,7,21,34,142
"E33020311","E01009376","E02001910",2011,262,188,2,6,18,48
"E33020312","E01009254","E02001911",2011,294,266,0,0,9,19
"E33020312","E01009256","E02001911",2011,294,266,0,0,9,19
"E33020313","E01009256","E02001911",2011,318,270,1,4,10,33
"E33020313","E01009254","E02001911",2011,318,270,1,4,10,33
"E33020313","E01009258","E02001911",2011,318,270,1,4,10,33
"E33020314","E01009073","E02001911",2011,371,287,1,10,34,39
"E33020314","E01009074","E02001911",2011,371,287,1,10,34,39
"E33020314","E01009258","E02001911",2011,371,287,1,10,34,39
"E33020315","E01033562","E02001913",2011,351,265,9,12,15,50
"E33020315","E01009078","E02001913",2011,351,265,9,12,15,50
"E33020316","E01009071","E02001913",2011,331,270,5,10,14,32
"E33020317","E01033562","E02001913",2011,287,223,9,11,16,28
"E33020317","E01009071","E02001913",2011,287,223,9,11,16,28
"E33020317","E01009075","E02001913",2011,287,223,9,11,16,28
"E33020318","E01009186","E02001914",2011,259,191,8,5,11,44
"E33020318","E01009183","E02001914",2011,259,191,8,5,11,44
"E33020319","E01033645","E02001914",2011,495,355,11,15,38,76
"E33020319","E01009183","E02001914",2011,495,355,11,15,38,76
"E33020320","E01009183","E02001914",2011,282,243,5,4,5,25
"E33020320","E01009186","E02001914",2011,282,243,5,4,5,25
"E33020321","E01033645","E02001914",2011,434,258,13,17,27,119
"E33020322","E01008893","E02001915",2011,387,329,6,11,5,36
"E33020322","E01008894","E02001915",2011,387,329,6,11,5,36
"E33020323","E01008890","E02001915",2011,314,233,9,7,10,55
"E33020323","E01008892","E02001915",2011,314,233,9,7,10,55
"E33020324","E01008892","E02001915",2011,428,354,5,10,17,42
"E33020324","E01008890","E02001915",2011,428,354,5,10,17,42
"E33020324","E01008893","E02001915",2011,428,354,5,10,17,42
"E33020325","E01008891","E02001915",2011,381,338,1,7,6,29
"E33020325","E01008895","E02001915",2011,381,338,1,7,6,29
"E33020326","E01008891","E02001915",2011,310,274,5,4,6,21
"E33020326","E01008893","E02001915",2011,310,274,5,4,6,21
"E33020326","E01008890","E02001915",2011,310,274,5,4,6,21
"E33020327","E01008894","E02001915",2011,751,623,3,16,28,81
"E33020327","E01009015","E02001915",2011,751,623,3,16,28,81
"E33020328","E01008894","E02001915",2011,382,241,2,7,26,106
"E33020328","E01008895","E02001915",2011,382,241,2,7,26,106
"E33020328","E01009015","E02001915",2011,382,241,2,7,26,106
"E33020329","E01008894","E02001915",2011,539,451,1,17,17,53
"E33020330","E01009029","E02001916",2011,452,352,12,13,15,60
"E33020330","E01009018","E02001916",2011,452,352,12,13,15,60
"E33020331","E01009014","E02001916",2011,512,400,2,10,16,84
"E33020332","E01009018","E02001916",2011,244,183,2,2,10,47
"E33020333","E01009026","E02001916",2011,343,248,9,13,20,53
"E33020333","E01009028","E02001916",2011,343,248,9,13,20,53
"E33020334","E01009028","E02001916",2011,540,375,6,13,63,83
"E33020334","E01009029","E02001916",2011,540,375,6,13,63,83
"E33020335","E01009385","E02001918",2011,231,178,6,5,11,31
"E33020336","E01009182","E02001918",2011,429,334,6,19,14,56
"E33020336","E01009184","E02001918",2011,429,334,6,19,14,56
"E33020337","E01009187","E02001918",2011,293,246,5,2,9,31
"E33020337","E01009188","E02001918",2011,293,246,5,2,9,31
"E33020338","E01009384","E02001918",2011,266,205,3,5,20,33
"E33020339","E01009182","E02001918",2011,264,182,12,12,14,44
"E33020340","E01009384","E02001918",2011,420,333,7,9,23,48
"E33020340","E01009385","E02001918",2011,420,333,7,9,23,48
"E33020341","E01009188","E02001918",2011,490,381,0,10,21,78
"E33020341","E01009184","E02001918",2011,490,381,0,10,21,78
"E33020341","E01009187","E02001918",2011,490,381,0,10,21,78
"E33020342","E01009184","E02001918",2011,234,191,2,4,11,26
"E33020342","E01009187","E02001918",2011,234,191,2,4,11,26
"E33020343","E01009389","E02001919",2011,341,222,3,7,17,92
"E33020343","E01009394","E02001919",2011,341,222,3,7,17,92
"E33020343","E01009390","E02001919",2011,341,222,3,7,17,92
"E33020343","E01009185","E02001919",2011,341,222,3,7,17,92
"E33020344","E01009185","E02001919",2011,466,381,4,6,18,57
"E33020344","E01009390","E02001919",2011,466,381,4,6,18,57
"E33020345","E01008920","E02001920",2011,346,317,0,3,7,19
"E33020345","E01008918","E02001920",2011,346,317,0,3,7,19
"E33020346","E01008920","E02001920",2011,823,714,6,24,40,39
"E33020346","E01008931","E02001920",2011,823,714,6,24,40,39
"E33020346","E01008918","E02001920",2011,823,714,6,24,40,39
"E33020347","E01008921","E02001920",2011,465,427,2,6,11,19
"E33020348","E01009259","E02001920",2011,277,221,6,7,17,26
"E33020348","E01008918","E02001920",2011,277,221,6,7,17,26
"E33020348","E01008931","E02001920",2011,277,221,6,7,17,26
"E33020349","E01009259","E02001920",2011,1030,941,1,8,21,59
"E33020350","E01009500","E02001921",2011,240,210,0,4,10,16
"E33020350","E01009064","E02001921",2011,240,210,0,4,10,16
"E33020351","E01008919","E02001921",2011,435,380,0,4,18,33
"E33020352","E01009077","E02001921",2011,409,315,12,12,22,48
"E33020352","E01009064","E02001921",2011,409,315,12,12,22,48
"E33020352","E01009291","E02001921",2011,409,315,12,12,22,48
"E33020353","E01009290","E02001922",2011,395,342,11,4,9,29
"E33020353","E01009286","E02001922",2011,395,342,11,4,9,29
"E33020354","E01033634","E02001922",2011,359,295,4,16,11,33
"E33020354","E01009286","E02001922",2011,359,295,4,16,11,33
"E33020355","E01009289","E02001922",2011,256,188,9,7,19,33
"E33020355","E01033634","E02001922",2011,256,188,9,7,19,33
"E33020356","E01009284","E02001922",2011,729,615,5,16,37,56
"E33020356","E01009290","E02001922",2011,729,615,5,16,37,56
"E33020356","E01009289","E02001922",2011,729,615,5,16,37,56
"E33020357","E01009284","E02001922",2011,876,764,8,16,26,62
"E33020358","E01033634","E02001922",2011,326,271,6,3,18,28
"E33020358","E01009289","E02001922",2011,326,271,6,3,18,28
"E33020359","E01009044","E02001923",2011,296,163,15,24,23,71
"E33020359","E01009045","E02001923",2011,296,163,15,24,23,71
"E33020360","E01009017","E02001923",2011,434,269,2,12,26,125
"E33020360","E01009043","E02001923",2011,434,269,2,12,26,125
"E33020361","E01009045","E02001923",2011,593,446,10,12,28,97
"E33020361","E01009043","E02001923",2011,593,446,10,12,28,97
"E33020362","E01009046","E02001923",2011,570,471,5,6,13,75
"E33020362","E01009045","E02001923",2011,570,471,5,6,13,75
"E33020362","E01009043","E02001923",2011,570,471,5,6,13,75
"E33020363","E01009395","E02001923",2011,501,341,5,13,22,120
"E33020363","E01009045","E02001923",2011,501,341,5,13,22,120
"E33020364","E01009046","E02001923",2011,395,325,4,5,9,52
"E33020365","E01009022","E02001924",2011,412,314,3,5,14,76
"E33020365","E01009030","E02001924",2011,412,314,3,5,14,76
"E33020365","E01009023","E02001924",2011,412,314,3,5,14,76
"E33020366","E01009016","E02001924",2011,274,223,2,5,14,30
"E33020366","E01009022","E02001924",2011,274,223,2,5,14,30
"E33020367","E01009016","E02001924",2011,262,229,4,7,4,18
"E33020368","E01009022","E02001924",2011,430,347,1,8,12,62
"E33020368","E01009023","E02001924",2011,430,347,1,8,12,62
"E33020369","E01009294","E02001925",2011,347,291,9,6,13,28
"E33020369","E01009295","E02001925",2011,347,291,9,6,13,28
"E33020369","E01009292","E02001925",2011,347,291,9,6,13,28
"E33020370","E01009281","E02001925",2011,482,400,5,13,17,47
"E33020371","E01009294","E02001925",2011,315,283,0,1,7,24
"E33020372","E01009295","E02001925",2011,270,206,3,8,20,33
"E33020373","E01009280","E02001926",2011,573,495,1,4,12,61
"E33020373","E01009282","E02001926",2011,573,495,1,4,12,61
"E33020374","E01009293","E02001926",2011,282,226,6,7,11,32
"E33020374","E01009282","E02001926",2011,282,226,6,7,11,32
"E33020375","E01009288","E02001926",2011,352,239,5,16,24,68
"E33020376","E01009288","E02001926",2011,431,331,8,18,28,46
"E33020376","E01009296","E02001926",2011,431,331,8,18,28,46
"E33020377","E01009282","E02001926",2011,456,361,5,16,36,38
"E33020378","E01009505","E02001927",2011,419,373,3,4,10,29
"E33020378","E01009501","E02001927",2011,419,373,3,4,10,29
"E33020379","E01009501","E02001927",2011,365,334,1,5,3,22
"E33020379","E01009502","E02001927",2011,365,334,1,5,3,22
"E33020380","E01009501","E02001927",2011,311,281,3,2,6,19
"E33020380","E01009503","E02001927",2011,311,281,3,2,6,19
"E33020380","E01009502","E02001927",2011,311,281,3,2,6,19
"E33020381","E01009502","E02001927",2011,328,274,3,10,20,21
"E33020381","E01008924","E02001927",2011,328,274,3,10,20,21
"E33020382","E01008923","E02001928",2011,279,249,1,5,4,20
"E33020382","E01008928","E02001928",2011,279,249,1,5,4,20
"E33020383","E01008917","E02001928",2011,809,718,10,8,23,50
"E33020383","E01008923","E02001928",2011,809,718,10,8,23,50
"E33020383","E01008925","E02001928",2011,809,718,10,8,23,50
"E33020383","E01008927","E02001928",2011,809,718,10,8,23,50
"E33020384","E01009024","E02001929",2011,506,394,1,11,22,78
"E33020384","E01009025","E02001929",2011,506,394,1,11,22,78
"E33020384","E01009019","E02001929",2011,506,394,1,11,22,78
"E33020384","E01009033","E02001929",2011,506,394,1,11,22,78
"E33020385","E01009021","E02001929",2011,366,307,1,7,15,36
"E33020385","E01009019","E02001929",2011,366,307,1,7,15,36
"E33020385","E01009020","E02001929",2011,366,307,1,7,15,36
"E33020385","E01009025","E02001929",2011,366,307,1,7,15,36
"E33020386","E01009179","E02001930",2011,572,488,0,6,7,71
"E33020387","E01009189","E02001930",2011,301,258,2,3,10,28
"E33020387","E01009175","E02001930",2011,301,258,2,3,10,28
"E33020388","E01009178","E02001930",2011,481,386,8,7,16,64
"E33020388","E01009177","E02001930",2011,481,386,8,7,16,64
"E33020389","E01009175","E02001930",2011,801,702,2,12,12,73
"E33020390","E01009176","E02001931",2011,261,207,2,3,8,41
"E33020391","E01009031","E02001931",2011,407,316,1,8,12,70
"E33020392","E01009037","E02001931",2011,266,227,1,3,6,29
"E33020393","E01008933","E02001931",2011,352,267,2,4,11,68
"E33020393","E01008934","E02001931",2011,352,267,2,4,11,68
"E33020394","E01008929","E02001932",2011,416,375,5,5,4,27
"E33020394","E01008930","E02001932",2011,416,375,5,5,4,27
"E33020394","E01033629","E02001932",2011,416,375,5,5,4,27
"E33020395","E01033629","E02001932",2011,716,635,3,12,12,54
"E33020396","E01009495","E02001932",2011,333,303,0,4,7,19
"E33020396","E01008929","E02001932",2011,333,303,0,4,7,19
"E33020397","E01008966","E02001933",2011,333,264,10,9,10,40
"E33020397","E01008953","E02001933",2011,333,264,10,9,10,40
"E33020398","E01008964","E02001933",2011,366,322,1,7,10,26
"E33020398","E01008963","E02001933",2011,366,322,1,7,10,26
"E33020399","E01008963","E02001933",2011,439,344,6,9,32,48
"E33020399","E01008965","E02001933",2011,439,344,6,9,32,48
"E33020399","E01008964","E02001933",2011,439,344,6,9,32,48
"E33020400","E01008953","E02001933",2011,737,603,1,12,25,96
"E33020400","E01008965","E02001933",2011,737,603,1,12,25,96
"E33020401","E01009035","E02001934",2011,904,722,13,22,31,116
"E33020401","E01009032","E02001934",2011,904,722,13,22,31,116
"E33020402","E01009034","E02001934",2011,629,476,6,11,14,122
"E33020402","E01009036","E02001934",2011,629,476,6,11,14,122
"E33020403","E01009506","E02001935",2011,328,274,3,5,13,33
"E33020403","E01009494","E02001935",2011,328,274,3,5,13,33
"E33020403","E01009496","E02001935",2011,328,274,3,5,13,33
"E33020404","E01009496","E02001935",2011,414,370,5,1,9,29
"E33020404","E01009497","E02001935",2011,414,370,5,1,9,29
"E33020405","E01009504","E02001935",2011,255,215,1,8,9,22
"E33020406","E01009497","E02001935",2011,577,520,0,5,15,37
"E33020407","E01008967","E02001936",2011,345,306,1,2,4,32
"E33020407","E01008970","E02001936",2011,345,306,1,2,4,32
"E33020408","E01008981","E02001936",2011,422,354,4,14,14,36
"E33020408","E01008967","E02001936",2011,422,354,4,14,14,36
"E33020409","E01008981","E02001936",2011,363,314,1,7,2,39
"E33020409","E01008967","E02001936",2011,363,314,1,7,2,39
"E33020409","E01008968","E02001936",2011,363,314,1,7,2,39
"E33020410","E01008968","E02001936",2011,394,333,3,6,10,42
"E33020411","E01008935","E02001937",2011,330,276,2,3,16,33
"E33020411","E01008939","E02001937",2011,330,276,2,3,16,33
"E33020411","E01008938","E02001937",2011,330,276,2,3,16,33
"E33020412","E01008932","E02001937",2011,496,423,3,7,17,46
"E33020412","E01008935","E02001937",2011,496,423,3,7,17,46
"E33020413","E01008935","E02001937",2011,518,415,2,15,11,75
"E33020413","E01008936","E02001937",2011,518,415,2,15,11,75
"E33020414","E01008952","E02001938",2011,500,437,5,5,8,45
"E33020414","E01008955","E02001938",2011,500,437,5,5,8,45
"E33020415","E01008956","E02001938",2011,392,350,3,6,10,23
"E33020416","E01008957","E02001938",2011,398,352,1,6,11,28
"E33020417","E01008956","E02001938",2011,289,252,4,4,6,23
"E33020417","E01008955","E02001938",2011,289,252,4,4,6,23
"E33020417","E01008951","E02001938",2011,289,252,4,4,6,23
"E33020418","E01008957","E02001938",2011,230,161,1,2,15,51
"E33020419","E01008952","E02001938",2011,359,315,5,9,7,23
"E33020419","E01008955","E02001938",2011,359,315,5,9,7,23
"E33020420","E01008951","E02001938",2011,278,248,0,4,5,21
"E33020421","E01008952","E02001938",2011,418,338,0,7,24,49
"E33020422","E01008954","E02001939",2011,1546,1309,12,19,71,135
"E33020422","E01008958","E02001939",2011,1546,1309,12,19,71,135
"E33020422","E01009493","E02001939",2011,1546,1309,12,19,71,135
"E33020423","E01009493","E02001939",2011,594,527,3,8,15,41
"E33020423","E01008950","E02001939",2011,594,527,3,8,15,41
"E33020423","E01008954","E02001939",2011,594,527,3,8,15,41
"E33020424","E01008937","E02001941",2011,328,283,0,1,8,36
"E33020424","E01008940","E02001941",2011,328,283,0,1,8,36
"E33020424","E01008944","E02001941",2011,328,283,0,1,8,36
"E33020425","E01008937","E02001941",2011,572,482,5,4,15,66
"E33020425","E01008941","E02001941",2011,572,482,5,4,15,66
"E33020425","E01008940","E02001941",2011,572,482,5,4,15,66
"E33020426","E01008960","E02001942",2011,307,281,0,0,5,21
"E33020426","E01008959","E02001942",2011,307,281,0,0,5,21
"E33020427","E01008961","E02001942",2011,424,360,4,9,13,38
"E33020427","E01008962","E02001942",2011,424,360,4,9,13,38
"E33020427","E01008959","E02001942",2011,424,360,4,9,13,38
"E33020428","E01008961","E02001942",2011,440,380,6,10,12,32
"E33020428","E01008960","E02001942",2011,440,380,6,10,12,32
"E33020429","E01008942","E02001943",2011,381,347,0,5,5,24
"E33020429","E01008943","E02001943",2011,381,347,0,5,5,24
"E33020430","E01008969","E02001943",2011,523,468,3,7,16,29
"E33020430","E01008943","E02001943",2011,523,468,3,7,16,29
"E33020431","E01008971","E02001943",2011,351,317,2,1,3,28
"E33020432","E01008973","E02001944",2011,900,793,5,10,23,69
"E33020432","E01008975","E02001944",2011,900,793,5,10,23,69
"E33020432","E01008972","E02001944",2011,900,793,5,10,23,69
"E33020433","E01008974","E02001944",2011,327,275,4,1,6,41
"E33020433","E01008973","E02001944",2011,327,275,4,1,6,41
"E33020433","E01008972","E02001944",2011,327,275,4,1,6,41
"E33020434","E01008974","E02001944",2011,346,307,0,0,16,23
"E33020434","E01008973","E02001944",2011,346,307,0,0,16,23
"E33020435","E01009498","E02001945",2011,720,622,5,13,26,54
"E33020435","E01009499","E02001945",2011,720,622,5,13,26,54
"E33020435","E01009172","E02001945",2011,720,622,5,13,26,54
"E33020436","E01009172","E02001945",2011,367,320,6,2,12,27
"E33020436","E01009173","E02001945",2011,367,320,6,2,12,27
"E33020436","E01009174","E02001945",2011,367,320,6,2,12,27
"E33020437","E01009205","E02001946",2011,223,205,1,0,1,16
"E33020438","E01009205","E02001946",2011,331,299,3,2,4,23
"E33020438","E01009211","E02001946",2011,331,299,3,2,4,23
"E33020439","E01009218","E02001946",2011,450,400,2,3,7,38
"E33020440","E01009206","E02001946",2011,521,458,4,5,10,44
"E33020440","E01009219","E02001946",2011,521,458,4,5,10,44
"E33020441","E01008976","E02001947",2011,256,215,1,6,9,25
"E33020441","E01008978","E02001947",2011,256,215,1,6,9,25
"E33020442","E01008980","E02001947",2011,656,596,3,10,12,35
"E33020442","E01008978","E02001947",2011,656,596,3,10,12,35
"E33020443","E01008980","E02001947",2011,283,252,0,5,5,21
"E33020443","E01008979","E02001947",2011,283,252,0,5,5,21
"E33020444","E01008945","E02001948",2011,683,536,6,23,44,74
"E33020445","E01008945","E02001948",2011,345,313,2,3,4,23
"E33020445","E01008946","E02001948",2011,345,313,2,3,4,23
"E33020445","E01008947","E02001948",2011,345,313,2,3,4,23
"E33020445","E01008949","E02001948",2011,345,313,2,3,4,23
"E33020446","E01008947","E02001948",2011,329,295,0,2,6,26
"E33020446","E01008948","E02001948",2011,329,295,0,2,6,26
"E33020447","E01008948","E02001948",2011,466,440,0,3,5,18
"E33020447","E01008949","E02001948",2011,466,440,0,3,5,18
"E33020448","E01008977","E02001949",2011,307,287,0,2,6,12
"E33020448","E01009120","E02001949",2011,307,287,0,2,6,12
"E33020449","E01009119","E02001949",2011,556,512,4,3,13,24
"E33020450","E01009120","E02001949",2011,354,292,3,7,22,30
"E33020450","E01009109","E02001949",2011,354,292,3,7,22,30
"E33020451","E01009209","E02001950",2011,510,472,1,5,10,22
"E33020451","E01009207","E02001950",2011,510,472,1,5,10,22
"E33020452","E01009208","E02001950",2011,367,342,1,3,7,14
"E33020452","E01009162","E02001950",2011,367,342,1,3,7,14
"E33020453","E01009208","E02001950",2011,423,388,2,3,9,21
"E33020453","E01009209","E02001950",2011,423,388,2,3,9,21
"E33020454","E01009213","E02001950",2011,602,548,7,6,4,37
"E33020454","E01009162","E02001950",2011,602,548,7,6,4,37
"E33020455","E01009209","E02001950",2011,390,360,1,2,8,19
"E33020455","E01009213","E02001950",2011,390,360,1,2,8,19
"E33020456","E01033633","E02001951",2011,390,342,7,6,12,23
"E33020456","E01009160","E02001951",2011,390,342,7,6,12,23
"E33020456","E01009161","E02001951",2011,390,342,7,6,12,23
"E33020457","E01033633","E02001951",2011,282,258,1,6,11,6
"E33020457","E01009157","E02001951",2011,282,258,1,6,11,6
"E33020458","E01033633","E02001951",2011,461,414,2,7,8,30
"E33020458","E01009161","E02001951",2011,461,414,2,7,8,30
"E33020458","E01009155","E02001951",2011,461,414,2,7,8,30
